Date,Value,Anomaly
198411,2.85,0.62
198412,2.49,0.14
198501,1.42,-0.89
198502,2.1,-0.03
198503,2.48,-0.03
198504,1.97,-0.55
198505,2.55,-0.36
198506,2.62,-0.31
198507,2.72,-0.06
198508,2.93,0.31
198509,3,0.51
198510,3.18,1.02
198511,3.54,1.31
198512,1.46,-0.89
198601,1.45,-0.86
198602,2.82,0.69
198603,1.98,-0.53
198604,2.24,-0.28
198605,2.95,0.04
198606,3.03,0.1
198607,2.75,-0.03
198608,2.82,0.2
198609,3.59,1.1
198610,2.81,0.65
198611,2.94,0.71
198612,2,-0.35
198701,2.17,-0.14
198702,2.33,0.2
198703,2.67,0.16
198704,1.46,-1.06
198705,3.24,0.33
198706,2.81,-0.12
198707,2.83,0.05
198708,2.74,0.12
198709,2.19,-0.3
198710,1.15,-1.01
198711,2.55,0.32
198712,2.87,0.52
198801,1.97,-0.34
198802,1.52,-0.61
198803,2.04,-0.47
198804,2.32,-0.2
198805,2.07,-0.84
198806,1.61,-1.32
198807,2.7,-0.08
198808,2.57,-0.05
198809,2.81,0.32
198810,1.43,-0.73
198811,3.17,0.94
198812,1.69,-0.66
198901,2.05,-0.26
198902,2.01,-0.12
198903,2.91,0.4
198904,1.79,-0.73
198905,3.26,0.35
198906,3.8,0.87
198907,2.86,0.08
198908,2.73,0.11
198909,2.68,0.19
198910,1.89,-0.27
198911,1.73,-0.5
198912,1.34,-1.01
199001,2.79,0.48
199002,2.68,0.55
199003,2.71,0.2
199004,2.49,-0.03
199005,3.83,0.92
199006,2.5,-0.43
199007,2.94,0.16
199008,2.65,0.03
199009,2.04,-0.45
199010,2.76,0.6
199011,2.09,-0.14
199012,2.69,0.34
199101,2.37,0.06
199102,1.64,-0.49
199103,3.33,0.82
199104,3.35,0.83
199105,3.72,0.81
199106,2.84,-0.09
199107,2.7,-0.08
199108,2.6,-0.02
199109,2.53,0.04
199110,2.1,-0.06
199111,2.49,0.26
199112,2.77,0.42
199201,2.08,-0.23
199202,2.32,0.19
199203,2.51,0
199204,2.06,-0.46
199205,2.29,-0.62
199206,3.39,0.46
199207,3.65,0.87
199208,2.9,0.28
199209,2.33,-0.16
199210,1.67,-0.49
199211,3.27,1.04
199212,2.79,0.44
199301,3.2,0.89
199302,2.18,0.05
199303,2.85,0.34
199304,2.92,0.4
199305,2.94,0.03
199306,3.61,0.68
